#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
605700 0.274247 0.143858 
606600 0.294314 0.118471 
607500 0.314381 0.131334 
608400 0.307692 0.199031 
609300 0.264214 0.126933 
610200 0.32107 0.224418 
611100 0.304348 0.118471 
612000 0.35786 0.190569 
612900 0.399732 0.126933 
613800 0.319465 0.089023 
614700 0.329498 0.160782 
615600 0.294314 0.063636 
616500 0.35786 0.169244 
617400 0.322809 0.165182 
618300 0.319465 0.207494 
619200 0.327759 0.262329 
620100 0.306087 0.241342 
621000 0.35786 0.211555 
621900 0.336187 0.118471 
622800 0.319465 0.199031 
623700 0.311037 0.22848 
624600 0.297659 0.182107 
625500 0.299398 0.203093 
626400 0.280936 0.143858 
627300 0.282676 0.182107 
628200 0.397993 0.15232 
629100 0.419799 0.203093 
630000 0.409766 0.249805 
630900 0.406421 0.207494 
631800 0.369632 0.148258 
632700 0.406421 0.245404 
633600 0.35291 0.143858 
634500 0.38796 0.22848 
635400 0.372977 0.190569 
636300 0.367893 0.182107 
637200 0.571906 0.566968 
638100 0.466622 0.287715 
639000 0.520134 0.355413 
639900 0.598662 0.643128 
640800 0.371237 0.355413 
641700 0.351171 0.321564 
642600 0.364548 0.330026 
643500 0.41806 0.431573 
644400 0.587023 0.786986 
645300 0.684013 0.990079 
646200 0.598662 0.740613 
647100 0.578595 0.647529 
648000 0.605351 0.681378 
648900 0.38301 0.3808 
649800 0.77592 106.624 
650700 0.67398 0.698302 
651600 0.645485 0.782924 
652500 0.628763 0.795448 
653400 0.481605 0.529058 
654300 0.672241 0.871608 
655200 0.531773 0.655991 
656100 0.5101 0.579831 
657000 0.587023 0.774462 
657900 0.623813 0.939306 
658800 0.32107 0.292116 
659700 0.438127 0.53312 
660600 0.441472 0.46136 
661500 0.341137 0.30464 
662400 0.493378 0.571369 
663300 0.587023 0.68984 
664200 0.441472 0.330026 
665100 0.454849 0.372337 
666000 0.48 0.249805 
666900 0.663946 0.719288 
667800 0.64388 0.554444 
668700 0.448161 0.283653 
669600 0.476656 0.338489 
670500 0.438127 0.23288 
671400 0.51505 0.22848 
672300 0.493378 0.338489 
673200 0.478261 0.258267 
674100 0.416455 0.30464 
675000 0.351171 0.169244 
675900 0.366288 0.215956 
676800 0.374582 0.194631 
677700 0.326154 0.131334 
678600 0.376321 0.241342 
679500 0.314381 0.135395 
680400 0.336187 0.190569 
681300 0.362943 0.215956 
682200 0.312776 0.139796 
683100 0.351171 0.190569 
684000 0.331104 0.160782 
684900 0.329498 0.165182 
685800 0.324415 0.186169 
686700 0.287625 0.177707 
687600 0.299398 0.207494 
688500 0.347826 0.182107 
689400 0.332843 0.169244 
690300 0.32107 0.215956 
691200 0.277592 0.139796 
692100 0.312776 0.199031 
693000 0.296054 0.097485 
693900 0.304348 0.182107 
694800 0.339532 0.224418 
695700 0.277592 0.122871 
696600 0.332843 0.245404 
697500 0.267559 0.131334 
698400 0.307692 0.220018 
699300 0.35291 0.097485 
700200 0.279331 0.063636 
701100 0.371237 0.194631 
702000 0.267559 0.08056 
702900 0.336187 0.186169 
703800 0.331104 0.165182 
704700 0.354515 0.194631 
705600 0.356254 0.236942 
706500 0.297659 0.186169 
707400 0.319465 0.249805 
708300 0.264214 0.118471 
709200 0.302742 0.215956 
710100 0.296054 0.194631 
711000 0.294314 0.15232 
711900 0.329498 0.203093 
712800 0.302742 0.186169 
713700 0.304348 0.173645 
714600 0.351171 0.173645 
715500 0.344482 0.131334 
716400 0.372977 0.199031 
717300 0.331104 0.139796 
718200 0.347826 0.122871 
719100 0.362943 0.23288 
720000 0.306087 0.089023 
720900 0.384615 0.258267 
721800 0.35786 0.190569 
722700 0.436522 0.342889 
723600 0.637191 0.808311 
724500 0.439866 0.3808 
725400 0.436522 0.376738 
726300 0.408027 0.342889 
727200 0.397993 0.292116 
728100 0.454849 0.397724 
729000 0.411371 0.30464 
729900 0.443211 0.300578 
730800 0.638796 0.795448 
731700 0.600401 0.719288 
